id,label,type,sex,birth,profession,media,qualitaetsmedium,total_visits,traffic_source_social_media
atlantis_sail,atlantis-sail.de,0,na,na,na,na,1,1,1
forum_publikumskonferenz,forum.publikumskonferenz.de,0,na,na,na,na,1,1,1
freepress_media,de.freepress.media,0,na,na,na,na,1,1,1
grueselhorn,grueselhorn.de,0,na,na,na,na,1,1,1
n_topnewsinfo,n.topnewsinfo.de,0,na,na,na,na,1,1,1
onlineticker,onlineticker.info,0,na,na,na,na,1,1,1
pl_isportant,pl.isportant.com,0,na,na,na,na,1,1,1
websitemarketingxxdotcom_wordpress,websitemarketing24dotcom.wordpress.com,0,na,na,na,na,1,1,1
zahlwort_blogger,zahlwort.blogger.de,0,na,na,na,na,1,1,1
leserbriefe,leserbriefe.info,0,na,na,na,na,1,2,1
ingexx,inge09.blog,0,na,na,na,na,1,2,1
ddrzweipunktnull,ddrzweipunktnull.de,0,na,na,na,na,1,2,1
nsu_leaks_freeforums,nsu-leaks.freeforums.net,0,na,na,na,na,1,1,1
cncsac,cncsac.com,0,na,na,na,na,1,na,1
dig_muenchen,dig-muenchen.de,0,na,na,na,na,1,na,1
direktbroker,direktbroker.de,0,na,na,na,na,1,na,1
gerdheld,gerdheld.de,0,na,na,na,na,1,na,1
gruene_unabhaengige,gruene-unabhaengige.ch,0,na,na,na,na,1,na,1
heute_news,heute-news.com,0,na,na,na,na,1,na,1
inkultura,inkultura-online.de,0,na,na,na,na,1,na,1
isportant,de.isportant.com,0,na,na,na,na,1,na,1
luegenpressex_wordpress,luegenpresse2.wordpress.com,0,na,na,na,na,1,na,1
lwfreiheit_wordpress,lwfreiheit.wordpress.com,0,na,na,na,na,1,na,1
nachrichten_aktuell,nachrichten-aktuell.eu,0,na,na,na,na,1,na,1
news_furt,news.furt.at,0,na,na,na,na,1,na,1
stefanmatun_wordpress,stefanmatun.wordpress.com,0,na,na,na,na,1,na,1
volksbetrug,volksbetrug.net,0,na,na,na,na,1,na,1
wollesgeraffel_wordpress,wollesgeraffel.wordpress.com,0,na,na,na,na,1,na,1
conservo_wordpress,conservo.wordpress.com,0,na,na,na,na,1,3,1
isis_trendolizer,isis.trendolizer.com,0,na,na,na,na,1,na,3
karim_ooo,karim.ooo,0,na,na,na,na,1,na,4
germanmediawatchblog_wordpress,germanmediawatchblog.wordpress.com,0,na,na,na,na,1,na,4
haolam_de,haolam.de,0,na,na,na,na,1,3,3
thegwpf,The Global Warming Policy Forum,0,na,na,na,na,1,2,2
eike_klima_energie,eike-klima-energie.eu,0,na,na,na,na,1,3,1
ddrwebquest,Ampelmaennchen und Todesschuesse,0,na,na,na,na,1,na,1
neue_zuericher_zeitung,nzz.ch,0,na,na,na,na,1,4,2
wahrheit_tv,wahrheit-tv.de,0,na,na,na,na,1,1,2
boerse_social,boerse-social.com,0,na,na,na,na,1,2,1
die_presse,diepresse.com,0,na,na,na,na,1,4,2
mywakenews_wordpress,mywakenews.wordpress.com,0,na,na,na,na,1,na,2
welt,welt.de,0,na,na,na,na,2,5,2
dieunbestechlichen,dieunbestechlichen.com,0,na,na,na,na,1,3,3
topnewsinfo,n.topnewsinfo.de,0,na,na,na,na,1,na,1
anygator,de.anygator.com,0,na,na,na,na,1,4,1
mercedes_forum,mercedes-forum.com,0,na,na,na,na,1,3,1
news_feed_reader,news.feed-reader.net,0,na,na,na,na,1,3,1
kaltesonne,kaltesonne.de,0,na,na,na,na,1,na,1
newstral,newstral.com,0,na,na,na,na,1,3,1
bachheimer,bachheimer.com,0,na,na,na,na,1,3,1
finanz_nachrichten,finanznachrichten.de,0,na,na,na,na,1,4,1
gmx,gmx.at,0,na,na,na,na,1,5,1
gelsenkirchener_geschichten,gelsenkirchener-geschichten.de,0,na,na,na,na,1,na,1
nixgut_wordpress,nixgut.wordpress.com,0,na,na,na,na,1,3,1
dasgelbeforum,dasgelbeforum.net,0,na,na,na,na,1,3,1
politikversagen,politikversagen.net,0,na,na,na,na,1,4,1
ardmediathek,ardmediathek.de,0,na,na,na,na,2,5,1
web,web.de,0,na,na,na,na,1,5,1
wallstreet_online,wallstreet-online.de,0,na,na,na,na,2,4,1
xing,xing.com,0,na,na,na,na,1,5,1
mmnews,mmnews.de,0,na,na,na,na,1,4,1
politikxx,politik24.de,0,na,na,na,na,1,2,1
faktum_magazin,faktum-magazin.de,0,na,na,na,na,1,2,2
steemit,steemit.com,0,na,na,na,na,1,5,2
morgenpost,morgenpost.de,0,na,na,na,na,2,4,2
wienerzeitung,wienerzeitung.at,0,na,na,na,na,2,3,2
climatechangedispatch,climatechangedispatch.com,0,na,na,na,na,1,3,2
wallstreetjournal,The Wall Street Journal,0,na,na,na,na,2,5,2
crimekalender_wordpress,crimekalender.wordpress.com,0,na,na,na,na,1,2,2
ef_magazin,eigentuemlich frei,0,na,na,na,na,1,3,2
epochtimes,epochtimes.de,0,na,na,na,na,1,4,2
veralengsfeld,vera-lengsfeld.de,0,na,na,na,na,1,3,2
publicomag,publicomag.com,0,na,na,na,na,1,3,2
info_direkt,info-direkt.eu,0,na,na,na,na,1,3,2
deutschlandfunkkultur,deutschlandfunkkultur.de,0,na,na,na,na,2,4,3
tichys_einblick,tichyseinblick.de,0,na,na,na,na,1,4,3
audiatur_online,audiatur-online.ch,0,na,na,na,na,1,na,3
dushan_wegner,dushanwegner.com,0,na,na,na,na,1,2,3
astrologieklassisch_wordpress,astrologieklassisch.wordpress.com,0,na,na,na,na,1,na,1
haolam_info,haolam.info,0,na,na,na,na,1,na,1
verlag_baz,verlag.baz.ch,0,na,na,na,na,2,3,1
kopp_report,kopp-report.de,0,na,na,na,na,1,4,1
heplev_wordpress,heplev.wordpress.com,0,na,na,na,na,1,na,3
frankfurter_erklaerung,Frankfurter Erklaerung,0,na,na,na,na,1,na,3
principia_scientific,Principia Scientific,0,na,na,na,na,1,2,3
journalistenwatch,journalistenwatch.com,0,na,na,na,na,1,4,3
archive,archive.is,0,na,na,na,na,1,5,3
konkret,konkret-magazin.de,0,na,na,na,na,1,2,3
amfedersee,amfedersee.de,0,na,na,na,na,1,na,1
genderama,genderama.blogspot.de,0,na,na,na,na,1,na,1
ntv,n-tv.de,0,na,na,na,na,2,5,1
pressreader,pressreader.com,0,na,na,na,na,1,4,1
bild,bild.de,0,na,na,na,na,2,5,1
quotenqueen_wordpress,quotenqueen.wordpress.com,0,na,na,na,na,1,2,1
sichtplatz,sichtplatz.de,0,na,na,na,na,1,2,1
mena_watch,mena-watch.com,0,na,na,na,na,1,3,4
juedischerundschau,juedischerundschau.de,0,na,na,na,na,1,3,4
steinhoefel,steinhoefel.com,0,na,na,na,na,1,2,4
wize,wize.life,0,na,na,na,na,1,4,4
wertewandelblog,wertewandelblog.de,0,na,na,na,na,1,na,4
oesterreich_press,oesterreich.press,0,na,na,na,na,1,na,4
ortneronline,ortneronline.at,0,na,na,na,na,1,2,1
tatjanafesterling,tatjanafesterling.de,0,na,na,na,na,1,2,1
fatalistnsuleaks_wordpress,fatalistnsuleaks.wordpress.com,0,na,na,na,na,1,na,1
afd_archiv_bodenseekreis,afd-archiv-bodenseekreis.de,0,na,na,na,na,1,na,1
voat,voat.co,0,na,na,na,na,1,4,1
eva_herman,eva-herman.net,0,na,na,na,na,1,3,1
juergen_fritz,juergenfritz.com,0,na,na,na,na,1,4,4
wochenblick,wochenblick.at,0,na,na,na,na,1,3,4
pi_news,pi-news.net,0,na,na,na,na,1,4,2
theeuropean,theeuropean.de,0,na,na,na,na,1,3,2
bazonline,bazonline.ch,0,na,na,na,na,2,4,2
offene_meinung_aus_sachsen_anhalt,offene-meinungen-aus-sachsen-anhalt.de,0,na,na,na,na,1,1,2
focus,focus.de,0,na,na,na,na,2,5,2
qoshe,qoshe.com,0,na,na,na,na,1,3,2
unbesorgt,unbesorgt.de,0,na,na,na,na,1,3,2
firmenweb,firmenweb.info,0,na,na,na,na,1,na,2
gehoertgebloggt,gehoertgebloggt.com,0,na,na,na,na,1,na,4
weltwoche,weltwoche.ch,0,na,na,na,na,1,3,2
zuwanderung,zuwanderung_net,0,na,na,na,na,1,na,2
fatalistblog,fatalistblog.arbeitskreis-n.su,0,na,na,na,na,1,na,2
peketec,peketec.de,0,na,na,na,na,1,na,2
pravda_tv,pravda-tv.com,0,na,na,na,na,1,3,2
freiewelt,freiewelt.net,0,na,na,na,na,1,3,2
gegstro_wordpress,gegstro.wordpress.com,0,na,na,na,na,1,1,2
deutschlandfunk,deutschlandfunk.de,0,na,na,na,na,2,4,2
bz_berlin,bz-berlin.de,0,na,na,na,na,2,4,2
achgut,achgut.com,0,na,na,na,na,1,4,2
adpunktum,adpunktum.de,0,na,na,na,na,1,na,na
alex_feuerherdt,Alex Feuerherdt,1,1,1969,freier Publizist,"Juedische Allgemeine, n-tv.de, Jungle World, Konkret",na,na,na
alexander_wendt,Alexander Wendt,1,1,1966,Journalist,alexander-wendt.com,na,na,na
ansgar_neuhof,Ansgar Neuhof,1,1,1969,Rechtsanwalt,na,na,na,na
antje_sievers,Antje Sievers,1,2,na,na,na,na,na,na
archi_w_bechlenberg,Archi W. Bechlenberg,1,1,1953,Bau und Kunsthistoriker,na,na,na,na
benny_peiser,Benny Peiser,1,1,1957,Direktor der Global Warming Policy Foundation,na,na,na,na
bernhard_lassahn,Bernhard Lassahn,1,1,1951,Schriftsteller,bernhard-lassahn.de,na,na,na
burkhard_mueller_ullrich,Burkhard Mueller-Ullrich,1,1,1956,journalist,na,na,na,na
christian_ortner,Christian Ortner,1,1,1958,Journalist,"Nachrichtenmagazin profil, Wochenpresse, WirtschaftsWoche oesterreich, Format, Die Presse, Wiener Zeitung",na,na,na
claudio_casula,Claudio Casula,1,1,1964,Journalist,na,na,na,na
cora_stephan,Cora Stephan,1,2,1951,"Autorin, Journalistin",www.cora-stephan.de,na,na,na
cora_stephan_blogspot,cora-stephan.blogspot.de,0,na,na,na,na,na,na,na
crtt,crtt.de,0,na,na,na,na,na,na,na
deepread,deepread.info,0,na,na,na,na,na,na,na
dirk_maxeiner,Dirk Maxeiner,1,1,1953,"Journalist, Chefredakteur, Gruendungsredakteur achgut","Stern, natur, Welt",na,na,na
gerd_held,Gerd Held,1,1,1951,Publizist,gerdheld.de,na,na,na
guenter_ederer,Guenter Ederer,1,1,1941,Journalist,"Suedwestfunk Baden-Baden, ZDF",na,na,na
guenter_ederer_de,guenter-ederer.de,0,na,na,na,na,na,na,na
gunnar_heinsohn,Gunnar Heinsohn,1,1,1942,Wirtschaftswissenschaftler und Soziologe,na,na,na,na
gunter_weissgerber,Gunter Weißgerber,1,1,1955,Publizist,weissgerber-freiheit.de,na,na,na
hansjoerg_mueller,Hansjoerg Mueller,1,1,na,Journalist,Basler Zeitung,na,na,na
henryk_m_broder,Henryk M. Broder,1,1,1946,na,"Frankfurter Rundschau, taz, Zeit, Spiegel, Welt",na,na,na
joachim_nikolaus_steinhoefel,Joachim Nikolaus Steinhoefel,1,1,1962,Anwalt,steinhoefel.com,na,na,na
karim_dabbouz,Karim Dabbouz,1,1,1987,Texter,na,na,na,na
katharina_szabo,Katharina Szabo,1,2,na,IT-Branche,na,na,na,na
manfred_haferburg,Manfred Haferburg,1,1,1948,na,na,na,na,na
markus_vahlefeld,Markus Vahlefeld,1,1,1966,Autor,markus-vahlefeld.de,na,na,na
mpib_berlin_mpg,Max Planck Institut Berlin,0,na,na,na,na,na,na,na
paul_nellen,Paul Nellen,1,1,1947,"Autor, Journalist, Dipl.-Politologe",paulnellen.de,na,na,na
peter_grimm,Peter Grimm,1,1,1965,"Journalist, Autor, Dokumentarfilm-Regisseur",na,na,na,na
philosophia_perennis_at,philosophia-perennis.at,0,na,na,na,na,na,na,na
rainer_bonhorst,Rainer Bonhorst,1,1,1945,Journalist,"Westdeutsche Allgemeine Zeitung, Augsburger Allgemeine Zeitung",na,na,na
rainer_grell,Rainer Grell,1,1,1941,Ministerialrat,na,na,na,na
ralf_schuler,Ralf Schuler,1,1,1965,Journalist,"Neuen Zeit, Welt, Bild, ralfschuler.wordpress.com",na,na,na
roger_letsch,Roger Letsch,1,1,1967,"Webdesigner, Fotograf, Texter","unbesorgt.de, epochtimes",na,na,na
stefan_frank,Stefan Frank,1,1,1976,Publizist,"Audiatur online, Gatestone Intitute, Juedische Rundschau, MENA Watch",na,na,na
thilo_sarrazin,Thilo Sarrazin,1,1,1945,Autor,na,na,na,na
thilo_schneider,Thilo Schneider,1,1,1966,Autor,na,na,na,na
thomas_rietzschel,Thomas Rietzschel,1,1,1951,Journalist,na,na,na,na
ulli_kulke,Ulli Kulke,1,1,1952,Journalist,,na,na,na
vera_lengsfeld,Vera Lengsfeld,1,2,1952,Journalist,na,na,na,na
vernunftkraft_hessen,vernunftkraft-hessen.de,0,na,na,na,na,na,na,na
volker_seitz,Volker Seitz,1,1,1943,ehem. Botschafter,na,na,na,na
walter_kraemer,Walter Kraemer,1,1,1948,Autor,na,na,na,na
watchtelevision_blogspot,watchtelevision.blogspot.de,0,na,na,na,na,na,na,na
wolfgang_roehl,Wolfgang Roehl,1,1,1947,Journalist,na,na,na,na
wolfram_ackner,Wolfram Ackner,1,1,1970,Schweißer,na,na,na,na
wolfram_weimer,Wolfram Weimer,1,1,1964,Journalist,"Die Welt, Berliner Morgenpost, Focus, Cicero, the european",na,na,na